Serial Number	Name	Value
A-AAA-000-698	Item #699	$698.99
A-AAA-000-699	Item #700	$699.99
A-AAA-000-700	Item #701	$700.99
A-AAA-000-701	Item #702	$701.99
A-AAA-000-702	Item #703	$702.99
A-AAA-000-703	Item #704	$703.99
A-AAA-000-704	Item #705	$704.99
A-AAA-000-705	Item #706	$705.99
A-AAA-000-706	Item #707	$706.99
A-AAA-000-707	Item #708	$707.99
A-AAA-000-708	Item #709	$708.99
A-AAA-000-709	Item #710	$709.99
A-AAA-000-710	Item #711	$710.99
A-AAA-000-711	Item #712	$711.99
A-AAA-000-712	Item #713	$712.99
A-AAA-000-713	Item #714	$713.99
A-AAA-000-714	Item #715	$714.99
A-AAA-000-715	Item #716	$715.99
A-AAA-000-716	Item #717	$716.99
A-AAA-000-717	Item #718	$717.99
A-AAA-000-718	Item #719	$718.99
A-AAA-000-719	Item #720	$719.99
A-AAA-000-720	Item #721	$720.99
A-AAA-000-721	Item #722	$721.99
A-AAA-000-722	Item #723	$722.99
A-AAA-000-723	Item #724	$723.99
A-AAA-000-724	Item #725	$724.99
A-AAA-000-725	Item #726	$725.99
A-AAA-000-726	Item #727	$726.99
A-AAA-000-727	Item #728	$727.99
A-AAA-000-728	Item #729	$728.99
A-AAA-000-729	Item #730	$729.99
A-AAA-000-730	Item #731	$730.99
A-AAA-000-731	Item #732	$731.99
A-AAA-000-732	Item #733	$732.99
A-AAA-000-733	Item #734	$733.99
A-AAA-000-734	Item #735	$734.99
A-AAA-000-735	Item #736	$735.99
A-AAA-000-736	Item #737	$736.99
A-AAA-000-737	Item #738	$737.99
A-AAA-000-738	Item #739	$738.99
A-AAA-000-739	Item #740	$739.99
A-AAA-000-740	Item #741	$740.99
A-AAA-000-741	Item #742	$741.99
A-AAA-000-742	Item #743	$742.99
A-AAA-000-743	Item #744	$743.99
A-AAA-000-744	Item #745	$744.99
A-AAA-000-745	Item #746	$745.99
A-AAA-000-746	Item #747	$746.99
A-AAA-000-747	Item #748	$747.99
A-AAA-000-748	Item #749	$748.99
A-AAA-000-749	Item #750	$749.99
A-AAA-000-750	Item #751	$750.99
A-AAA-000-751	Item #752	$751.99
A-AAA-000-752	Item #753	$752.99
A-AAA-000-753	Item #754	$753.99
A-AAA-000-754	Item #755	$754.99
A-AAA-000-755	Item #756	$755.99
A-AAA-000-756	Item #757	$756.99
A-AAA-000-757	Item #758	$757.99
A-AAA-000-758	Item #759	$758.99
A-AAA-000-759	Item #760	$759.99
A-AAA-000-760	Item #761	$760.99
A-AAA-000-761	Item #762	$761.99
A-AAA-000-762	Item #763	$762.99
A-AAA-000-763	Item #764	$763.99
A-AAA-000-764	Item #765	$764.99
A-AAA-000-765	Item #766	$765.99
A-AAA-000-766	Item #767	$766.99
A-AAA-000-767	Item #768	$767.99
A-AAA-000-768	Item #769	$768.99
A-AAA-000-769	Item #770	$769.99
A-AAA-000-770	Item #771	$770.99
A-AAA-000-771	Item #772	$771.99
A-AAA-000-772	Item #773	$772.99
A-AAA-000-773	Item #774	$773.99
A-AAA-000-774	Item #775	$774.99
A-AAA-000-775	Item #776	$775.99
A-AAA-000-776	Item #777	$776.99
A-AAA-000-777	Item #778	$777.99
A-AAA-000-778	Item #779	$778.99
A-AAA-000-779	Item #780	$779.99
A-AAA-000-780	Item #781	$780.99
A-AAA-000-781	Item #782	$781.99
A-AAA-000-782	Item #783	$782.99
A-AAA-000-783	Item #784	$783.99
A-AAA-000-784	Item #785	$784.99
A-AAA-000-785	Item #786	$785.99
A-AAA-000-786	Item #787	$786.99
A-AAA-000-787	Item #788	$787.99
A-AAA-000-788	Item #789	$788.99
A-AAA-000-789	Item #790	$789.99
A-AAA-000-790	Item #791	$790.99
A-AAA-000-791	Item #792	$791.99
A-AAA-000-792	Item #793	$792.99
A-AAA-000-793	Item #794	$793.99
A-AAA-000-794	Item #795	$794.99
A-AAA-000-795	Item #796	$795.99
A-AAA-000-796	Item #797	$796.99
A-AAA-000-797	Item #798	$797.99
A-AAA-000-798	Item #799	$798.99
A-AAA-000-799	Item #800	$799.99
A-AAA-000-800	Item #801	$800.99
A-AAA-000-801	Item #802	$801.99
A-AAA-000-802	Item #803	$802.99
A-AAA-000-803	Item #804	$803.99
A-AAA-000-804	Item #805	$804.99
A-AAA-000-805	Item #806	$805.99
A-AAA-000-806	Item #807	$806.99
A-AAA-000-807	Item #808	$807.99
A-AAA-000-808	Item #809	$808.99
A-AAA-000-809	Item #810	$809.99
A-AAA-000-810	Item #811	$810.99
A-AAA-000-811	Item #812	$811.99
A-AAA-000-812	Item #813	$812.99
A-AAA-000-813	Item #814	$813.99
A-AAA-000-814	Item #815	$814.99
A-AAA-000-815	Item #816	$815.99
A-AAA-000-816	Item #817	$816.99
A-AAA-000-817	Item #818	$817.99
A-AAA-000-818	Item #819	$818.99
A-AAA-000-819	Item #820	$819.99
A-AAA-000-820	Item #821	$820.99
A-AAA-000-821	Item #822	$821.99
A-AAA-000-822	Item #823	$822.99
A-AAA-000-823	Item #824	$823.99
A-AAA-000-824	Item #825	$824.99
A-AAA-000-825	Item #826	$825.99
A-AAA-000-826	Item #827	$826.99
A-AAA-000-827	Item #828	$827.99
A-AAA-000-828	Item #829	$828.99
A-AAA-000-829	Item #830	$829.99
A-AAA-000-830	Item #831	$830.99
A-AAA-000-831	Item #832	$831.99
A-AAA-000-832	Item #833	$832.99
A-AAA-000-833	Item #834	$833.99
A-AAA-000-834	Item #835	$834.99
A-AAA-000-835	Item #836	$835.99
A-AAA-000-836	Item #837	$836.99
A-AAA-000-837	Item #838	$837.99
A-AAA-000-838	Item #839	$838.99
A-AAA-000-839	Item #840	$839.99
A-AAA-000-840	Item #841	$840.99
A-AAA-000-841	Item #842	$841.99
A-AAA-000-842	Item #843	$842.99
A-AAA-000-843	Item #844	$843.99
A-AAA-000-844	Item #845	$844.99
A-AAA-000-845	Item #846	$845.99
A-AAA-000-846	Item #847	$846.99
A-AAA-000-847	Item #848	$847.99
A-AAA-000-848	Item #849	$848.99
A-AAA-000-849	Item #850	$849.99
A-AAA-000-850	Item #851	$850.99
A-AAA-000-851	Item #852	$851.99
A-AAA-000-852	Item #853	$852.99
A-AAA-000-853	Item #854	$853.99
A-AAA-000-854	Item #855	$854.99
A-AAA-000-855	Item #856	$855.99
A-AAA-000-856	Item #857	$856.99
A-AAA-000-857	Item #858	$857.99
A-AAA-000-858	Item #859	$858.99
A-AAA-000-859	Item #860	$859.99
A-AAA-000-860	Item #861	$860.99
A-AAA-000-861	Item #862	$861.99
A-AAA-000-862	Item #863	$862.99
A-AAA-000-863	Item #864	$863.99
A-AAA-000-864	Item #865	$864.99
A-AAA-000-865	Item #866	$865.99
A-AAA-000-866	Item #867	$866.99
A-AAA-000-867	Item #868	$867.99
A-AAA-000-868	Item #869	$868.99
A-AAA-000-869	Item #870	$869.99
A-AAA-000-870	Item #871	$870.99
A-AAA-000-871	Item #872	$871.99
A-AAA-000-872	Item #873	$872.99
A-AAA-000-873	Item #874	$873.99
A-AAA-000-874	Item #875	$874.99
A-AAA-000-875	Item #876	$875.99
A-AAA-000-876	Item #877	$876.99
A-AAA-000-877	Item #878	$877.99
A-AAA-000-878	Item #879	$878.99
A-AAA-000-879	Item #880	$879.99
A-AAA-000-880	Item #881	$880.99
A-AAA-000-881	Item #882	$881.99
A-AAA-000-882	Item #883	$882.99
A-AAA-000-883	Item #884	$883.99
A-AAA-000-884	Item #885	$884.99
A-AAA-000-885	Item #886	$885.99
A-AAA-000-886	Item #887	$886.99
A-AAA-000-887	Item #888	$887.99
A-AAA-000-888	Item #889	$888.99
A-AAA-000-889	Item #890	$889.99
A-AAA-000-890	Item #891	$890.99
A-AAA-000-891	Item #892	$891.99
A-AAA-000-892	Item #893	$892.99
A-AAA-000-893	Item #894	$893.99
A-AAA-000-894	Item #895	$894.99
A-AAA-000-895	Item #896	$895.99
A-AAA-000-896	Item #897	$896.99
A-AAA-000-897	Item #898	$897.99
A-AAA-000-898	Item #899	$898.99
A-AAA-000-899	Item #900	$899.99
A-AAA-000-900	Item #901	$900.99
A-AAA-000-901	Item #902	$901.99
A-AAA-000-902	Item #903	$902.99
A-AAA-000-903	Item #904	$903.99
A-AAA-000-904	Item #905	$904.99
A-AAA-000-905	Item #906	$905.99
A-AAA-000-906	Item #907	$906.99
A-AAA-000-907	Item #908	$907.99
A-AAA-000-908	Item #909	$908.99
A-AAA-000-909	Item #910	$909.99
A-AAA-000-910	Item #911	$910.99
A-AAA-000-911	Item #912	$911.99
A-AAA-000-912	Item #913	$912.99
A-AAA-000-913	Item #914	$913.99
A-AAA-000-914	Item #915	$914.99
A-AAA-000-915	Item #916	$915.99
A-AAA-000-916	Item #917	$916.99
A-AAA-000-917	Item #918	$917.99
A-AAA-000-918	Item #919	$918.99
A-AAA-000-919	Item #920	$919.99
A-AAA-000-920	Item #921	$920.99
A-AAA-000-921	Item #922	$921.99
A-AAA-000-922	Item #923	$922.99
A-AAA-000-923	Item #924	$923.99
A-AAA-000-924	Item #925	$924.99
A-AAA-000-925	Item #926	$925.99
A-AAA-000-926	Item #927	$926.99
A-AAA-000-927	Item #928	$927.99
A-AAA-000-928	Item #929	$928.99
A-AAA-000-929	Item #930	$929.99
A-AAA-000-930	Item #931	$930.99
A-AAA-000-931	Item #932	$931.99
A-AAA-000-932	Item #933	$932.99
A-AAA-000-933	Item #934	$933.99
A-AAA-000-934	Item #935	$934.99
A-AAA-000-935	Item #936	$935.99
A-AAA-000-936	Item #937	$936.99
A-AAA-000-937	Item #938	$937.99
A-AAA-000-938	Item #939	$938.99
A-AAA-000-939	Item #940	$939.99
A-AAA-000-940	Item #941	$940.99
A-AAA-000-941	Item #942	$941.99
A-AAA-000-942	Item #943	$942.99
A-AAA-000-943	Item #944	$943.99
A-AAA-000-944	Item #945	$944.99
A-AAA-000-945	Item #946	$945.99
A-AAA-000-946	Item #947	$946.99
A-AAA-000-947	Item #948	$947.99
A-AAA-000-948	Item #949	$948.99
A-AAA-000-949	Item #950	$949.99
A-AAA-000-950	Item #951	$950.99
A-AAA-000-951	Item #952	$951.99
A-AAA-000-952	Item #953	$952.99
A-AAA-000-953	Item #954	$953.99
A-AAA-000-954	Item #955	$954.99
A-AAA-000-955	Item #956	$955.99
A-AAA-000-956	Item #957	$956.99
A-AAA-000-957	Item #958	$957.99
A-AAA-000-958	Item #959	$958.99
A-AAA-000-959	Item #960	$959.99
A-AAA-000-960	Item #961	$960.99
A-AAA-000-961	Item #962	$961.99
A-AAA-000-962	Item #963	$962.99
A-AAA-000-963	Item #964	$963.99
A-AAA-000-964	Item #965	$964.99
A-AAA-000-965	Item #966	$965.99
A-AAA-000-966	Item #967	$966.99
A-AAA-000-967	Item #968	$967.99
A-AAA-000-968	Item #969	$968.99
A-AAA-000-969	Item #970	$969.99
A-AAA-000-970	Item #971	$970.99
A-AAA-000-971	Item #972	$971.99
A-AAA-000-972	Item #973	$972.99
A-AAA-000-973	Item #974	$973.99
A-AAA-000-974	Item #975	$974.99
A-AAA-000-975	Item #976	$975.99
A-AAA-000-976	Item #977	$976.99
A-AAA-000-977	Item #978	$977.99
A-AAA-000-978	Item #979	$978.99
A-AAA-000-979	Item #980	$979.99
A-AAA-000-980	Item #981	$980.99
A-AAA-000-981	Item #982	$981.99
A-AAA-000-982	Item #983	$982.99
A-AAA-000-983	Item #984	$983.99
A-AAA-000-984	Item #985	$984.99
A-AAA-000-985	Item #986	$985.99
A-AAA-000-986	Item #987	$986.99
A-AAA-000-987	Item #988	$987.99
A-AAA-000-988	Item #989	$988.99
A-AAA-000-989	Item #990	$989.99
A-AAA-000-990	Item #991	$990.99
A-AAA-000-991	Item #992	$991.99
A-AAA-000-992	Item #993	$992.99
A-AAA-000-993	Item #994	$993.99
A-AAA-000-994	Item #995	$994.99
A-AAA-000-995	Item #996	$995.99
A-AAA-000-996	Item #997	$996.99
A-AAA-000-997	Item #998	$997.99
A-AAA-000-998	Item #999	$998.99
A-AAA-000-999	Item #1000	$999.99
A-AAA-001-000	Item #1001	$1000.99
A-AAA-001-001	Item #1002	$1001.99
A-AAA-001-002	Item #1003	$1002.99
A-AAA-001-003	Item #1004	$1003.99
A-AAA-001-004	Item #1005	$1004.99
A-AAA-001-005	Item #1006	$1005.99
A-AAA-001-006	Item #1007	$1006.99
A-AAA-001-007	Item #1008	$1007.99
A-AAA-001-008	Item #1009	$1008.99
A-AAA-001-009	Item #1010	$1009.99
A-AAA-001-010	Item #1011	$1010.99
A-AAA-001-011	Item #1012	$1011.99
A-AAA-001-012	Item #1013	$1012.99
A-AAA-001-013	Item #1014	$1013.99
A-AAA-001-014	Item #1015	$1014.99
A-AAA-001-015	Item #1016	$1015.99
A-AAA-001-016	Item #1017	$1016.99
A-AAA-001-017	Item #1018	$1017.99
A-AAA-001-018	Item #1019	$1018.99
A-AAA-001-019	Item #1020	$1019.99
A-AAA-001-020	Item #1021	$1020.99
A-AAA-001-021	Item #1022	$1021.99
A-AAA-001-022	Item #1023	$1022.99
A-AAA-001-023	Item #1024	$1023.99
